k,time_sec,risk_proxy,q,coverage,x_hat,U,tau,direct_alert,request_more_data,request_confirmation,policy_code
0,0,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
1,1,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
2,2,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
3,3,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
4,4,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
5,5,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
6,6,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
7,7,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
8,8,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
9,9,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
10,10,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
11,11,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
12,12,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
13,13,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
14,14,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
15,15,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
16,16,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
17,17,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
18,18,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
19,19,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
20,20,0.93,0.53,1,0.5634,0.564,0.76252,0,0,1,2
21,21,0.93,0.53,1,0.757698,0.564,0.76252,0,0,1,2
22,22,0.93,0.53,1,0.84901806,0.564,0.76252,0,0,1,2
23,23,0.93,0.53,1,0.8919384882,0.564,0.76252,0,0,1,2
24,24,0.93,0.53,1,0.912111089454,0.564,0.76252,0,0,1,2
25,25,0.93,0.53,1,0.92159221204338,0.564,0.76252,0,0,1,2
26,26,0.93,0.53,1,0.926048339660389,0.564,0.76252,0,0,1,2
27,27,0.93,0.53,1,0.928142719640383,0.564,0.76252,0,0,1,2
28,28,0.93,0.53,1,0.92912707823098,0.564,0.76252,0,0,1,2
29,29,0.93,0.53,1,0.929589726768561,0.564,0.76252,0,0,1,2
30,30,0.93,0.53,1,0.929807171581224,0.564,0.76252,0,0,1,2
31,31,0.93,0.53,1,0.929909370643175,0.564,0.76252,0,0,1,2
32,32,0.93,0.53,1,0.929957404202292,0.564,0.76252,0,0,1,2
33,33,0.93,0.53,1,0.929979979975077,0.564,0.76252,0,0,1,2
34,34,0.93,0.53,1,0.929990590588286,0.564,0.76252,0,0,1,2
35,35,0.93,0.53,1,0.929995577576495,0.564,0.76252,0,0,1,2
36,36,0.93,0.53,1,0.929997921460953,0.564,0.76252,0,0,1,2
37,37,0.93,0.53,1,0.929999023086648,0.564,0.76252,0,0,1,2
38,38,0.93,0.53,1,0.929999540850724,0.564,0.76252,0,0,1,2
39,39,0.93,0.53,1,0.929999784199841,0.564,0.76252,0,0,1,2
40,40,0.93,0.53,1,0.929999898573925,0.564,0.76252,0,0,1,2
41,41,0.93,0.53,1,0.929999952329745,0.564,0.76252,0,0,1,2
42,42,0.93,0.53,1,0.92999997759498,0.564,0.76252,0,0,1,2
43,43,0.93,0.53,1,0.929999989469641,0.564,0.76252,0,0,1,2
44,44,0.93,0.53,1,0.929999995050731,0.564,0.76252,0,0,1,2
45,45,0.93,0.53,1,0.929999997673844,0.564,0.76252,0,0,1,2
46,46,0.93,0.53,1,0.929999998906706,0.564,0.76252,0,0,1,2
47,47,0.93,0.53,1,0.929999999486152,0.564,0.76252,0,0,1,2
48,48,0.93,0.53,1,0.929999999758492,0.564,0.76252,0,0,1,2
49,49,0.93,0.53,1,0.929999999886491,0.564,0.76252,0,0,1,2
50,50,0.93,0.53,1,0.929999999946651,0.564,0.76252,0,0,1,2
51,51,0.93,0.53,1,0.929999999974926,0.564,0.76252,0,0,1,2
52,52,0.93,0.53,1,0.929999999988215,0.564,0.76252,0,0,1,2
53,53,0.93,0.53,1,0.929999999994461,0.564,0.76252,0,0,1,2
54,54,0.93,0.53,1,0.929999999997397,0.564,0.76252,0,0,1,2
55,55,0.15,0.95,1,0.18899999999987,0.0600000000000001,0.5458,0,0,0,0
56,56,0.15,0.95,1,0.151949999999994,0.0600000000000001,0.5458,0,0,0,0
57,57,0.15,0.95,1,0.1500975,0.0600000000000001,0.5458,0,0,0,0
58,58,0.15,0.95,1,0.150004875,0.0600000000000001,0.5458,0,0,0,0
59,59,0.15,0.95,1,0.15000024375,0.0600000000000001,0.5458,0,0,0,0
60,60,0.15,0.95,1,0.1500000121875,0.0600000000000001,0.5458,0,0,0,0
61,61,0.15,0.95,1,0.150000000609375,0.0600000000000001,0.5458,0,0,0,0
62,62,0.15,0.95,1,0.150000000030469,0.0600000000000001,0.5458,0,0,0,0
63,63,0.15,0.95,1,0.150000000001523,0.0600000000000001,0.5458,0,0,0,0
64,64,0.15,0.95,1,0.150000000000076,0.0600000000000001,0.5458,0,0,0,0
65,65,0.15,0.95,1,0.150000000000004,0.0600000000000001,0.5458,0,0,0,0
66,66,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
67,67,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
68,68,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
69,69,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
70,70,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
71,71,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
72,72,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
73,73,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
74,74,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
75,75,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
76,76,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
77,77,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
78,78,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
79,79,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
80,80,0.15,0.95,1,0.15,0.0600000000000001,0.5458,0,0,0,0
