scenario,method,window_alert_count,alert_episode_count,false_direct_alert_episode_count,direct_alert_episode_count,false_alert_episode_count,request_more_data_count,request_confirmation_count,request_episode_count,false_request_episode_count,confirmation_episode_count,false_confirmation_episode_count,action_episode_count,false_action_episode_count,nonrisk_request_episode_count,nonrisk_confirmation_episode_count,nonrisk_action_episode_count,detected_risk_episode_count,missed_risk_episode_count,direct_alert_detected_risk_episode_count,direct_alert_missed_risk_episode_count,action_detected_risk_episode_count,action_missed_risk_episode_count,mean_detection_latency_windows,low_quality_direct_alert_count,low_quality_alert_episode_count,policy_transition_count,action_switch_count,direct_alert_switch_count,controller_switch_count_deprecated,request_windows_per_day,confirmation_windows_per_day,action_episodes_per_day,mean_q,mean_coverage,mean_uncertainty,mean_x_hat,max_x_hat,mean_tau,false_alert_window_count,false_alert_episodes_per_day,low_quality_alert_episode_ratio,monitoring_request_episodes
normal,fixed_raw_threshold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,1,0.030860396996471,0.146010527933599,0.197107339417724,0.528640911159012,0,0,0,0
normal,quality_aware_controller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,1,0.030860396996471,0.146010527933599,0.197107339417724,0.528640911159012,0,0,0,0
low_quality_artifact,fixed_raw_threshold,153,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,NaN,152,1,2,2,2,2,0,0,6.00561733373997,0.904392516786443,0.934028985507246,0.204149158218539,0.332974182979054,0.879393412387196,0.594371111279632,153,6.00561733373997,1,0
low_quality_artifact,quality_aware_controller,0,0,0,0,0,116,37,1,1,4,4,1,1,1,4,1,0,0,0,0,0,0,NaN,0,0,14,2,0,2,696.651610713836,222.207841348379,6.00561733373997,0.904392516786443,0.934028985507246,0.204149158218539,0.332974182979054,0.879393412387196,0.594371111279632,0,0,0,1
high_risk_irregular,fixed_raw_threshold,192,2,1,2,1,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,1,0,0,113,2,4,4,4,4,0,0,12.0204003261182,0.942460024023393,0.983131138070479,0.0949037978484261,0.400613969956645,0.961446890313629,0.557915390880336,45,6.01020016305911,1,0
high_risk_irregular,quality_aware_controller,6,6,0,6,0,31,154,2,1,2,1,2,1,1,1,1,1,0,1,0,1,0,1,0,0,23,4,12,4,186.316205054833,925.570825111104,12.0204003261182,0.942460024023393,0.983131138070479,0.0949037978484261,0.400613969956645,0.961446890313629,0.557915390880336,0,0,0,2
missing_burst,fixed_raw_threshold,53,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,NaN,53,1,38,38,38,2,0,0,6.00209198404544,0.935236840656866,0.892210767468499,0.199286533480347,0.212763525223535,0.667812185916847,0.587457598056263,53,6.00209198404544,1,0
missing_burst,quality_aware_controller,0,0,0,0,0,71,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,NaN,0,0,28,28,0,2,426.148530867226,0,6.00209198404544,0.935236840656866,0.892210767468499,0.199286533480347,0.212763525223535,0.667812185916847,0.587457598056263,0,0,0,1
near_threshold_noise,fixed_raw_threshold,8,6,6,6,6,0,0,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,NaN,0,0,12,12,12,12,0,0,36.0606633624251,1,1,0.0308475816902628,0.16357118834293,0.587673337442997,0.528637322873274,8,36.0606633624251,0,0
near_threshold_noise,quality_aware_controller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,1,0.0308475816902628,0.16357118834293,0.587673337442997,0.528637322873274,0,0,0,0
